centroid_x,centroid_y,radius_500
384534.46786846424,63591.59030095564,
385320.5502054689,62539.591584437185,
385061.59820853773,62784.35019680481,
385437.47097938176,64283.064826932816,
385466.6971183541,64718.87336091753,
385110.795813277,63973.84975244594,
385321.930859249,63928.80205196885,
385456.043151913,63647.56771329633,
382962.7712873346,65694.97205867902,
383001.2923710207,65813.02579687614,
383261.6893888621,66956.96439761932,
384315.55465652037,65343.28521825278,
384719.22226370336,65888.57409151984,
385380.38906821434,64800.43108842424,
381915.00043756,64213.70413345765,
382566.6758392675,63443.13443209322,
382605.20464633644,63561.21796192541,
386229.0464341005,58744.268542473124,
384328.18854742934,59150.31852113326,
386278.1690239334,59934.44125025637,
386019.13810680335,60179.316631690504,
386489.38263104245,59889.33650354954,
384904.68289271416,59532.70145532113,
384943.2100658695,59650.85027394075,
385413.4126640803,59360.85139909069,
382426.0549896757,58166.4422228888,
387679.7336583678,59382.364294785526,
387650.5565505692,58946.22116337978,
382464.5979808519,58284.599051529556,
382157.91289904225,58729.29407762487,
382561.7709695038,59274.90959344621,
382184.70060692256,65040.16163646678,
381483.67129605304,64621.46309619345,
383797.95665945025,57178.033809225206,
380755.0888231304,65155.75420625112,
380793.6222498253,65273.80559694297,
383836.49535426754,57296.210643779355,
381878.167973675,65484.382027181135,
383107.3462239082,57831.25678920935,
383471.13361012645,56868.6379328883,
383289.2328611362,57349.96572652726,
383915.08185513737,58922.607048875856,43.0
381907.48709979974,65920.06525329142,
383751.68971390306,58767.93362205065,43.0
381551.5325647481,65175.2443383333,
382800.61818247393,58275.99359689349,
382541.68248259946,58520.90826398028,
383865.7778299844,57732.38383584109,
383895.05868114653,58168.53312167258,
384167.77262093726,61774.98234385914,
382449.4410462637,61699.66064211409,
382267.6453016493,62180.63379362855,
382919.44407744444,61409.79987153272,87.0
382957.976327769,61527.913480779906,87.0
383919.61245297524,63091.23430073002,
383958.1354343417,63209.32883238413,
384428.1733021696,62919.53693776683,
382843.9873070869,62562.89848007784,
382873.2862139408,62998.76094044971,
383534.3555064116,61910.2074454434,
383055.0996415087,62517.834180323116,
386547.7938330616,60761.45553488717,
386288.76756564016,61006.29877163279,
384676.39021695656,61603.2291123488,
385174.3627408511,60359.712050962284,
385212.8864594083,60477.85049111179,
385618.0323886365,62412.93368287907,
385981.9375037466,61450.86534817545,
